problem,0,1,2,3
 The results of the horse race will be posted ------ the newspaper’s Web site as soon as they  are available. , in, on, along, for
" Because he was still not fluent in German, the tourist found it difficult to express ------- in that language. ", himself, him, his, he
" Since it is still -------- slippery from the last snowfall, bikers should proceed cautiously over the bridge. ", hurriedly, carefully, recently, somewhat
" When the couple showed up to the lecture 20 minutes late, almost ------- seat in the room was taken. ", every, most, none, all
" The homeowner warned guests not to go into the basement yet, ------- that it was still under construction. ", said, saying, say, had
" Many people are curious to know ------- won the election, but the news stations are not prepared to announce the results yet. ", that, who, when, where
" The class next door kept making noise, so the MBA student had a hard time concentrating ------- the test. ", within, during, around, between
" For passengers --------- without access to an online GPS, a map is always useful. ", travels, travel, traveling, traveled
" The best time to run is ------- dawn and late morning, when it is early enough to be cool but late enough to be sunny. ", with, outside, between, beyond
" -------, very little of the house was damaged thanks to the brave firefighters who worked quickly to put out the blaze. ", Fortunately, Hardly, Regrettably, Similarly
 The building manager opened up the garage ------- people would have a place to park. , in, so, however, whereas
" The frequent power outages at the office were -------, as many people had to meet tight deadlines. ", expected, irritating, punishable, annoyed
" Every December, the management of Ben Scott Consulting Group collects ------- from employees to analyze the company as an employer. ", taxes, guarantees, warrants, feedback
" The new shipment of paper ------- last week, but the operations manager had to order an additional one because of a miscommunication. ", delivery, has, was, delivering
" It takes a while for mail to reach people in Drummond, Wyoming, for the reason that the town is so --------. ", remote, stringent, disruptive, proficient
" As the marketing campaign is ------- well, the agency should have an advertisement ready by the end of the week. ", surrounding, achieving, proving, progressing
 SpeedNet cable customers have the ------- of renewing their service for a discounted rate if they have used the service for one year. , answer, emergency, interruption, option
" With its ------- handling, luxury interiors, and sleek design, the Water Runner is possibly the best motorboat in America. ", smoothly, smooth, smoothed, smoothing
" The documentary, scheduled ------- air on Sunday night, focuses on the efforts to develop certain sections of New Orleans. ", for, in, to, at
" Apparently the singer’s tour bus was delayed, so the show is not going to start for -------two hours or so. ", each, one, another, others
