problem,0,1,2,3
 Homeowners living along the coast need sturdy construction materials that can ------- the area’s severe weather. , depress, transform, intensify, withstand
 The board of directors usually meets ------- the first Friday of every month. , in, at, on, to
 Economic indicators collected over the past two years reveal that the country’s economy has been ------- improving.  , steadily, rightfully, instinctively, directly
 The National Revenue Service asks that citizens ------- to file their income tax returns before the April 15 deadline. , remember, remembered, remembering, will
" According to the brochure, the train ------- several picturesque towns on the way to its final destination in the south of France. ", passes, passed, passing, to
 The outspoken mayor is often criticized for making unkind ------- about people who do not agree with his views. , notations, remarks, regards, suggestions
 Ogavi has been able to maintain excellent ------- with its suppliers in China since it established an office in Shenzhen. , relates, relating, relation, relations
" Increasing numbers of young people say they prefer to get their news ------- from television or newspapers, but from the Internet. ", both, not, also, neither
 Market research played an ------- role in the development of Flussy’s latest range of home cleaning products. , optional, affirmative, essential, imaginative
" Mr. Sullivan will be very busy this week getting ready    ------- Friday’s event, but he can still be reached through his mobile phone. ", for, with, into, from
 Some teachers are uncertain that the addition of software tools in the classroom will ------- the pace of children’s learning. , step, launch, forward, quicken
" Using a special coupon code, customers may take advantage of a free, 30-day trial of PC Fort without an ------- to buy. ", oblige, obliging, obligation, obligatory
" Despite the slowdown in sales, executives from the Altuin corporation ------- to report substantial profits at the end of the year. ", expect, expects, expecting, is
 The Ministry of Agriculture has measures in place to protect the country’s farming ------- from the effects of unusually dry weather. , sector, plot, figure, situation
" Most of Brocaid’s employees work out of a six-building complex in Lakewood, ------- the company has its global headquarters. ", when, where, why, how
 The university withdrew support for Dr. Miller’s planned research trip to South America ------- difficulties securing adequate funding. , as, apart, according, because
" Updates to Covotro’s Web site will be handled by the new communications manager, ------- joins the firm later this month. ", who, whom, whose, whoever
 Groups representing management and the labor union   ------- agreed to revisit the subject of employee benefits at the end of the year. , evenly, mutually, immensely, comparatively
" The airline did not properly explain ------- the flight was delayed for over two hours yesterday, prompting several complaints from passengers. ", why, what, which, whenever
 Ms. Wesley had a ------- moment early on in her writing career when she witnessed a live book reading by noted author Ellen Anthony. , define, defines, defined, defining
 The marketing department will obtain valuable insight into customers’ feelings about the new product ------- last month’s survey results are known. , once, while, unless, as
 Technicians have been able to trace the problem with the office network to a ------- in the way it was initially set up. , mark, flaw, stain, blemish
 The Annual Newport Media Convention ------- by thousands of visitors each year and surpassed all previous attendance records when it was held last July. , enjoys, enjoyed, is, was
 The Kravitz gas-powered generator can run ------- for up to 16 hours a day without needing to be refueled.  , depends, dependent, dependable, dependably
 Tenants must ------- damages to a rental property that go beyond a reasonable interpretation of normal wear and tear. , cut, pack, speak, answer
 The government’s job program has been an ------- help to a number of citizens left unemployed by the recent economic downturn. , ordinary, enormous, immaterial, anonymous
" In exchange for contributing to Pharmacoa’s medical study, ------- will each receive an online gift card worth $25.  ", responds, responses, responded, respondents
 The college provides plenty of information that students can use to determine ------- they are suited to a particular course. , if, than, just, whereas
" From a young age, Stanley Jeffries had always had the   ------- to become one of the world’s foremost orchestra conductors. ", outcome, ambition, finality, extremity
 The newly appointed labor minister has announced a goal of ------- the minimum wage for workers in the service industries. , raise, to, raising, will
" After ------- discussion over the potential risks and rewards of entering a new line of business, Binney’s shareholders voted in favor of the CEO’s plan. ", a, plenty, much, many
 Organizers of the 33rd World Trade Expo have ------- recognized Denron as a corporate sponsor and will include the company’s logo in all promotional material.  , privately, hopefully, officially, conventionally
 The story of Porter Wayne’s rise to prominence in the business world has been written about ------- in magazine articles and is now the subject of an upcoming book entitled On Your Feet. , extending, extension, extensive, extensively
" ------- quite old, homes in the neighborhood of Greene Street are more expensive than in other locations in the city. ", Even, Although, Despite, Before
 It has become ------- difficult in today’s competitive work environment to advance oneself in a career without first receiving years of education and training. , increasing, increase, increasingly, increases
 Owners of the Ashton Football Club have indicated they may hire acting coach Robert Winstone on a ------- basis if he succeeds in improving the team’s standing by the end of the season. , durable, permanent, persistent, steadfast
" Weekend temperatures are forecast to fall ------- below average for this time of year as a cold front moves in from north of the country, bringing with it the possibility of snow. ", too, very, well, away
" ------- the instructions for completing the form carefully, as it will not be possible to edit the information after an account has been created.  ", Follow, To, Following, Followed
" ------- enough time to get to know each other, the members of the project team will figure out the best way to organize themselves into an efficient unit.  ", Give, To, Giving, Given
" Having the ------- endorsement of management, Ms. Crane was able to proceed with assembling the resources she would need to see her plan come to fruition. ", enthuse, enthusiast, enthusiastic, enthusiastically
