problem,0,1,2,3
 The airline requires passengers to keep seatbelts securely fastened at all times when they -------. , seated, seat, are, are
 All shops along the boardwalk will be open late every night ------- the end of the tourist season in September. , for, with, until, since
" Each team member has their own ------- for the project, and the deadline for these tasks is clearly given on the plan page. ", location, expense, material, assignment
" Traveling overseas for a vacation may seem like a good idea, but often ------- at home turns out to be more relaxing. ", stays, stayed, staying, have
" Once ------- on Merrywood Towers has begun, it should take less than a year to complete the entire development. ", construct, constructive, constructing, construction
 The CEO of Integra emphasized the importance of making ------- goals for employees so that no one becomes frustrated. , achieves, achievable, achievability, achievement
" Staff can ------- new items for discussion at the end of the meeting, as long as the chairperson says there is time for it. ", set, bring, stand, check
 Employees who have taken computer courses in Wordy800 or above are ------- from taking the in-house training on Wordy990. , exempt, familiar, content, possible
" ------- the bus to work every day in order to save money on fuel and car expenses, and also to help the environment. ", Take, Taken, Taking, To
 Many people who ------- the Coffee and Café Trade Show last year have said they would like it to be an annual event. , attends, attended, is, has
 All cleaning staff must go ------- to the janitor’s room each evening to receive their floor assignment for the night shift. , directs, directly, directed, direction
" Few staff members can attend the new year’s eve party this Fridays, so the team decided to find ------- ways to spend time together. ", others, other, another, each
" Most people prefer to ------- money at the airport for convenience, though banks can usually exchange currency just as easily. ", save, spend, borrow, convert
" ------- over 70 people requested information on the management workshop, not even 20 have signed up so far. ", While, Even, Because, Along
" Managers have an ------- to assist workers under them to do their jobs better, which includes encouraging further training. ", attraction, obligation, occupation, approximation
 The human resources director spoke to Ms. Winsdom ------- after her presentation last week to ask if she could come to the company. , right, nearly, currently, every
" The position of international coordinator requires someone who can speak at least two languages -------, preferably English and Chinese. ", fairly, finely, fluently, formerly
" Though instant foods are fast and easy to make, they often contain ------- that make them less healthy than slower menu items. ", preservatives, residues, entries, reflections
" Penny Shepherd asked Hal Shane ------- was the best way to get to city hall, so he recommended taking a taxi. ", why, how, what, where
" Investing in gold mines could have rich rewards, but it is more ------- to lose money for those who put money into something so risky. ", likely, safe, timely, narrow
