problem,0,1,2,3
 A customer may submit a formal request to renew his or her credit card within 90 days of the date it -------. , expires, retires, elapses, resigns
 The shipment from China arrived ------ the port yesterday and will be delivered here later this afternoon. , by, at, beside, until
 Students who fulfill their course requirements ------- fail to pass their final exam may be allowed to retake the test. , or, yet, for, so
" By encouraging its researchers to ------- explore new ideas, the company has been able to develop a number of innovative products. ", create, creating, creative, creatively
 The human resources manager made sure everyone got an ------- to Ms. Coleman’s retirement party. , invite, invited, invitee, inviting
 Homeowners should take ------- measures to protect their homes against potential damage from the approaching hurricane. , elusive, preventive, deceptive, conservative
 Ms. Ferraro should be the one to meet with the clients from Hapana as she ------- with them several times in the past. , deal, dealing, has, will
 Drivers will be held ------- responsible should anything happen while they are in possession of a rental vehicle. , graciously, hesitantly, personally, amazingly
 Mr. Edmonds does not have adequate medical coverage and is looking for the number of a reputable -------. , insure, insurer, insured, insurance
" ------- $2,500 to support the Brady Museum, Mr. Simpkins is eligible to receive discounts on entry passes and purchases from the museum store. ", Donate, Donated, To, Having
 The owners of Bits n’ Bobs may have to rethink their entire business plan if sales remain as ------- as they have been thus far. , weak, weaken, weakly, weaker
 The Augusta Corporation is seeking a portfolio manager experienced in currency markets to oversee its financial ------- in Asia. , trimmings, holdings, trappings, surroundings
 Prospective tenants unable to find a vacant apartment are encouraged to check back next year as someone ------- by then. , left, leaves, was, will
" The area in front of the hotel is popular with both tourists and locals and can get busy in the daytime, but it is ------- quiet at night. ", notice, noticing, noticeable, noticeably
" Analysts ------- that if the price of oil continues to drop further, it will result in serious job losses across the industry. ", rely, appoint, speculate, inquire
 Dr. Klose considers winning the National Science Institute’s honor for Biologist of the Year to be her -------  of moments yet. , proud, pride, proudly, proudest
 The employment manual explains in detail ------- each employee is expected to do when filing a grievance against the company. , what, why, that, which
 ------- with applying for public benefits may be obtained by contacting the Office of the Mayor at 555-4112 during regular business hours. , Assist, Assisting, Assistant, Assistance
 Millions of immigrants flock to the country each year in ------- of a better life for themselves and their families. , trace, summit, pursuit, advent
" ------- originally scheduled to fly back on Monday, Mr. Franklin extended his stay in Germany so he could meet with more suppliers. ", Even, Though, So, Rather
