problem,0,1,2,3
 The box office figures for the studio’s film were limited due to production finishing more ------- than its rivals. , slowly, slowed, slowest, slower
" The surveyors looked at several sites, but ------- of them were unsuitable for the project. ", most, which, anything, everyone
 Mr. Zhou will be making a formal ------- to the executives about the progress of the takeover talks. , attendance, opportunity, understanding, announcement
" Now would be an excellent time to send a résumé to Ms. Sanchez, as the organization is currently ------- more backroom staff. ", recruit, recruiting, recruited, recruits
" Please book as soon as you know your departure date, as the price of flight tickets ------- quite quickly.  ", increases, increasing, increasingly, increase
 The executive has fulfilled his promises to the board by  ------- reducing manufacturing costs and administrative expenses. , rapid, rapidity, rapidly, rapids
 ------- Mr. Herald nor Ms. Birch’s presentation could match up to that of last year’s keynote speaker. , Not, Except, Neither, Either
 This position requires strong ------- of accounting and database software as well as great skill and experience with spreadsheets. , belief, criticism, acceptance, knowledge
 The primary ------- for this tax year is to diversify the company’s revenue streams to maximize income. , transition, persuasion, meaning, objective
" Camper Stuff Inc. was new and somewhat unknown in the industry, so it was concerned about its brand being ------- to consumers.  ", recognizable, anticipated, probable, official
" When an order is made, the system passes it on to ------- that package the goods up and ship them out to the customers. ", dispatcher, dispatched, dispatchers, dispatching
" With the evidence obtained, researchers are led ------- that the treatment is effective nine times out of ten. ", concluding, conclusion, to, conclude
 ------- new advances in understanding of the human genome is the main priority of Vita Biomedical Labs. , Developing, Develop, Development, Developer
" The amount raised this year has exceeded expectations and, -------, we will now be able to refurbish the community center as planned. ", consequently, conversely, otherwise, unfortunately
 Access to the budgetary information requires ------- from a member of the finance department or senior management. , authorize, authorized, authorizer, authorization
 A focus group was convened ------- the testing phase and found that the product’s customer satisfaction was higher than that of rival goods. , lately, during, prior, against
 Major national television stations have been in ------- with Mr. Lee to ask for interviews about his successful career. , accordance, contact, line, common
 Managers of some of the ------- pension funds have recently begun to diversify their investment portfolios by backing a significant number of technology start-ups. , deepest, most, largest, most
 Tickets sold out quickly as hundreds of people ------- up the lecture hall for the former governor’s speech. , showed, picked, sped, filled
 Ms. Markovic was encouraged in her performance review to take on greater responsibility while ------- her current high standard of work. , maintained, will, maintains, maintaining
" ------- quite similar in size, the double rooms on the top three floors are marginally larger than those elsewhere in the hotel. ", As, Despite, Although, When
 The communications department is ------- promoting its internal social network to strongly encourage employees to connect with one another. , virtually, passively, enthusiastically, separately
 A number of branches ------- in the city over the past year as the restaurant chain continues its expansion. , have, must, will, opens
" Mr. Bailey has made some suggestions to Ms. Lee, and she seemed pleasantly ------- to making changes and incorporating some innovative ideas. ", noteworthy, receptive, exclusive, perceptive
 Mr. Tanaka was typically less up-front when talking to his boss but decided to express his thoughts rather ------- regarding the project status. , direct, directly, direction, directing
" With the flight arriving safely, the foreign guests made it through the airport and met the guides ------- were sent to meet them. ", they, few, who, which
" Due to a small amount of leftover stock that needs to be out of the warehouse by September, the company has announced a ------- discount on all items. ", temporary, mistaken, competent, decisive
 The managing director’s decision to extend the application deadline and interview more candidates ------- a delay in the start date of the new position.  , would, meaningful, meaning, to
 Gary has decided to be healthier than he was in his university years by eating more fruits and vegetables and riding his bike ------. , regularity, regular, regulate, regularly
" To take advantage of favorable tax rates in the adjoining county, Globo Tech will soon be moving its headquarters ------- the city limits. ", down, beyond, without, beneath
" Ms. Torres was honored to discover that the local children’s hospital in downtown Baltimore, ------- she had volunteered as a college student, was hiring her. ", and, how, like, where
" Because of a lighting malfunction in the original venue, Mr. Shaw had to move the meeting to another office which had not ------- been reserved by the other departments.  ", therefore, both, currently, already
" There were a number of training sessions held ------- the course of the weekend, during which supervisors could learn about computer system updates. ", at, between, over, under
 Hazlett Instruments has long been considered one of the most trustworthy names in the business thanks to its money-back ------- and excellent service. , concerns, guarantee, oversight, intention
" At Mr. Cohen’s retirement send-off party, several of the invitees gave fond farewell speeches ------- his vast achievements during his 20-year tenure as vice president. ", recall, recalls, recalled, recalling
" When making his appointment, Mr. Jenkins was promised by the dentist’s office that he will receive a text message the day before as a -------. ", reminder, payment, description, substitute
" Dividends paid to shareholders rose by eight percent this year, mostly ------- of strong sales after the introduction of original and exciting product lines that consumers raved about.  ", in, as, in, as
" ------- every new item it releases into the marketplace, InTech shows an instinctive understanding of the future trends in computing and smart technology. ", Even, Though, With, How
" As the flight was canceled on account of a severe snow storm, around half of the passengers ------- their money, while the rest had their bookings rescheduled.  ", were, refunds, refunding, will
 Two of Minerva Deluxe Department Store’s top sales associates were strategically stationed just inside the main entrance to greet clients and cordially offer -------. , assistant, assisted, assist, assistance
