problem,0,1,2,3
 Mr. Leonard’s acceptance letter for the head accountant position was sent -------- the company’s headquarters in Atlanta.  , by, to, out, beyond
" As the products are made of glass, all packages sent from the warehouse need to be -------- with fragile stickers.  ", monitored, viewed, labeled, attached
 The coffee shop provides a 10 percent -------- on all purchases made with a Visex credit card.  , discounted, discount, discounting, discountable
" The software installation was -------- more complicated than expected, and the technician requested an additional two days on his schedule to complete the work.  ", many, a, so, most
 Passengers in economy class must pay an extra fee if ------- have baggage which exceeds the weight limit. , them, themselves, their, they
" The parking facility is located -------- the subway station, allowing commuters to leave their vehicles and use the train.  ", into, beside, inside, between
" In an effort ------- sales figures, the department store decided to expand its range of products and include sporting and house ware items.  ", have, to, is, was
 Seats located in the theater’s orchestra area are --------- for a group of visiting critics and reviewers.  , indicated, reserved, modified, allowed
" Following a two-hour meeting last week, the board of directors approved a -------- for the next fiscal year.  ", budgeting, budgeted, budgets, budget
 The temperature in the exhibit hall is -------- controlled so that artifacts and artwork are not susceptible to damage.  , irregularly, strictly, speedily, occasionally
 The patient ---------- assumed that his test results would be provided to him immediately after the medical examination. , mistook, mistakenly, mistaken, mistakes
 Hotel guests were --------- to keep all valuable items in the safety deposit boxes located in the closets of each guest room.  , recommended, prohibited, promoted, recognized
 Ms. Stark noticed that the telephone number on her new business cards ------- incorrect and asked that they be reprinted.  , were, was, have, is
 The company clearly explains its --------- regarding leaves and vacation days in the handbooks provided to all staff members. , legalizations, regulations, situations, demonstrations
 The manager asked for everyone’s --------- attention before she made several important announcements about the work schedule.  , completion, completely, complete, completed
 Drivers passing -------- the Oakland neighborhood experienced serious traffic congestion during last month’s road repair work. , above, through, before, while
 Researchers at the Palmdale laboratory ------- a line of cosmetic products to determine if they are safe for human usage.  , is, are, to, is
" According to experts, the shocking ------- of Ren-Trak’s stock value can mainly be attributed to rumors of financial distress.  ", decline, decliner, declined, declination
 The current tenant of the office space -------- to extend his lease for another two years under the terms of the current contract.  , found, remarked, agreed, merged
 Students are asked to ------- their registration forms and payments for the Spanish class by the end of this week.  , retrieve, extend, submit, notice
" --------- the film was rated suitable for children, many parents felt that some scenes were a bit too graphic for younger viewers. ", However, Furthermore, Therefore, Though
 The --------- for the upcoming marketing workshop was a former advertising executive from a well-known firm famous for its innovative promotional strategies. , facilitate, facilitated, facilitator, facility
" -------- a full dinner was served to the employees, the CEO handed out a few awards to staff members who were retiring from the company.  ", Above, After, Due, Already
 The representative said that the state government has an -------- to promote economic improvement in the region. , impression, obligation, indifference, opinion
 Mr. Lim forwarded Ms. Chung a --------- itinerary for his upcoming trip to several branch offices in the Southeast Asian division.  , detailed, details, detailing, detailer
" Applications for the legal assistant position will be -------- by the personnel director today, and shortlisted candidates will be contacted tomorrow.  ", transmitted, reviewed, altered, answered
" In response to -------- concerns regarding customer service, sales staff were required to attend a seminar on dealing with clients.  ", growing, relating, predicting, persuading
 The museum has -------- renovated its lobby to include a new ticketing area and a counter for renting out equipment for an audio-tour.  , probably, completely, conclusively, hesitantly
 Customs and immigration cards need to be -------- to officers upon arrival at the Vancouver International Airport.  , presentation, presenting, presented, present
 The event planner made some major --------- to the program after her client requested that several executives be given time to make speeches.  , inspections, modifications, revelations, assumptions
 The hired consultant will have to negotiate -------- with union representatives to reach a satisfactory compromise with the company.  , caution, cautious, cautioning, cautiously
 The development division compiled an -------- summary report on possible real estate investment opportunities to present during the annual conference.  , informative, opportunistic, existent, apologetic
" After waiting for nearly a month, Ms. Rainier finally received notice from the city that --------- request for a business license had been approved. ", she, herself, hers, her
" Ms. Thompson rushed to get to the dry-cleaner’s after work, but it had -------- closed for the day by the time she arrived.  ", yet, already, soon, while
 The computer technology trade fair will be held on ------- the same dates as it was last year at the convention center in London.  , exactly, suggestively, appropriately, lastly
" -------- recent consumer trends, fashion brand redesigned its logo so that it would appear more contemporary and attractive.  ", Apart, In, Except, In
 Shoppers at Best Buy furniture have the option of purchasing items in monthly -------- without paying any additional charges or processing fees. , subsidies, installments, deliveries, abbreviations
 Calentra Automotive’s newest sports utility vehicle is equipped with a state-of-the-art -------- system that is voice-activated. , navigational, navigate, navigator, navigated
 A users’ manual is included with every Veribox Printer which offers information on the --------- usage of the device.  , appropriate, considerate, literate, moderate
" --------- a fully-equipped gym, swimming pool, and dining facilities, Belloc Hotel and Resort also has a business center which is accessible 24-hours per day.  ", Instead, In, Because, In
