problem,0,1,2,3
 The film about climate change did much to inform people who were otherwise ------- of the problem. , ignored , ignorance , ignorant  , ignoring 
 The firm hired an advertising agency to help ------- promote a new line of clothing products for teenagers. , it  , that , this , itself 
 The marketing team printed out a thousand brochures to distribute ------- the conference next weekend.  , at  , by , above , across 
" A traffic jam has developed near the entrance to Humbert Bridge, so motorists should ------- the area if they can.  ", clear , prevent , avoid  , escape 
" Roberta ------- remembers leaving the client’s file folder on her desk, but it appears to have gone missing. ", distinct , distinction  , distinctly  , distinctive 
 The total cost of Mr. Daley’s book order amounted to $80 ------- sales taxes and international shipping. , containing , including  , composing , involving 
 Tax Plus software allows users to ------- their expenses into different categories for easier management. , separate  , separation , separating , separately 
 Organizers are eager to start the event on time and have announced that the first speaker will begin ------- at nine. , tightly , routinely , promptly  , seriously 
 Dr. Palin’s research on social behavior is ------- mentioned in books on the subject published by other authors.  , sincerely , essentially , partially , frequently  
 The manufacturing firm consulted a ------- in international trade before opening its first overseas factory in Thailand. , specials , specialist  , specialized , specialty 
" The weather this past winter has been ------- cold, with temperatures in many places dropping below record levels. ", roughly , officially , indefinitely , unusually  
 Fundraising events held throughout the year ------- that the foundation can continue providing its community programs. , ensure  , adopt , maintain , protect 
 The city will soon be undertaking a billion-dollar ------- of its historic neighborhoods in the hopes of attracting more tourists. , situation , transaction , restoration  , confirmation  
 Management will not approve any major work done by external service providers without first receiving a written ------- of their costs. , estimator  , estimated , estimable  , estimate  
" To be sure they are getting authentic Digistar products, consumers are advised to buy them only from ------- sellers. ", authorize , authorized  , authorizing , authorization 
" According to the artist’s biography, he is ------- from Pakistan but moved to Canada with his family at a very young age. ", origin , original , originally  , originality 
 The new jewelry collection by designer Anna Czerny ------- during her company’s 25th founding anniversary next month. , presented , has presented , to be presented , will be presented  
 Tony Macklemore held a press conference today to explain ------- he is planning to retire from cycling at the end of the year.  , why  , then , well , almost 
 The students will be ------- on their visit to the natural history museum by teachers from the school’s science department. , explained , participated , substituted , accompanied  
