problem,0,1,2,3
 The CEO was so ------- of the work his staff did that he treated all of them out to dinner.  , appreciate, appreciation, appreciative, appreciatively
 The new novel by author Kayla Bindi will be available at ------- bookstores throughout Australia by the end of the month. , any, every, most, much
" ------- by scientists to be extinct, the ancient marine creature was discovered by a fisherman off the coast of South Africa. ", Believe, Believing, Believed, To
 The report says that school attendance has ------ since more young people have to go out and find work to support their families. , reduced, shortened, declined, minimized
 Many of the customers waiting outside to purchase Vega's new game console ------- in line since 4 A.M. this morning. , stand, to, are, have
 The crew charged with ------- the Smith's home did a terrible job that cost the couple thousands of dollars. , renovate, renovated, renovation, renovating
 Many vending machines now carry healthy food and beverage options ------- junk food and soft drinks. , except, because, in, on
 A staff member updates the company's Web site whenever there are current ------- that might interest customers. , developed, developments, develops, developing
 Massage therapists have to take a licensure exam to ------- that they have acquired the skills they need to practice their profession. , approve, certify, experience, operate
 Employees are required to wear business attire from Monday to Thursday but may dress ------- they like on Fridays. , also, instead, whatever, however
 Researchers say it could take decades for solar technology to reach the point ------- most people find it affordable.  , next, such, at, that
 Volunteering offers valuable learning ------- for people interested in making a career out of social work. , conveniences, opportunities, probabilities, admissions
 Analysts believe that competition over natural resources will continue to ------- over the coming decades as the world's population grows.  , generate, exaggerate, replicate, escalate
 Doctors warn that regular sleep deprivation ------- serious medical conditions and recommend at least eight hours of rest for good health. , is, is, associated, associates
 Traffic was reduced ------- one side of the two-lane mountain road because of a landslide that had occurred just hours before. , in, at, to, on
 Applicants who do not meet the ------- for senior manager may still be considered for other open positions. , appointments, qualifications, interviews, references
 The success of the charity group's programs  ------- demonstrates what is possible when people unite for a common cause. , clear, clearer, clearest, clearly
" Apart from bulk orders, the equipment distributor -------- shipment of products within two days of purchase. ", refunds, notifies, guarantees, maintains
 Mr. Young ------- increased his investment in the company until he accumulated enough shares to become a majority owner. , steady, steadier, steadiest, steadily
" After registering their business with the Department of Trade, the business owners were instructed to secure a ------ to operate from City Hall. ", ticket, coupon, permit, patent
" While the company tolerates personal use of the Internet, ------- activities are discouraged during regular work hours. ", such, rather, quite, that
 It is the responsibility of the Securities and Exchange Commission to ensure that banks and other financial institutions act ------- the law. , above, as, in, in
 Fuller Manufacturing tries to ------- cooperation between departments by holding frequent social gatherings that allow the employees to interact with one another. , appeal, reward, demand, promote
" Mayor Jenkins believes that even though littering is only a minor offense, it is ------- of people's lack of discipline and general disregard for the rules.  ", indicate, indication, indicative, indicated
 Dr. Robertson assured Ms. West that her deteriorating eyesight was ------- normal for people her age and that she had nothing to be concerned about. , perfect, perfection, perfected, perfectly
 Contributors to the online encyclopedia are encouraged to write in ------- language so that visitors have an easy time understanding the content. , plain, native, strong, verbal
 The Windmere Lodge offers guests a relaxing holiday atmosphere in a valley ------- by snow-capped mountains and cool green forests. , will, surrounded, to, surrounding
" According to the embassy's Web site, the ------- of visas only takes place between 9 A.M. and 2 P.M. from Monday to Thursday. ", issue, issued, issuers, issuance
 Dan has had little success advertising his business services online and ------- networking events and trade shows for generating new leads. , prefers, preferring, preference, preferable
" Motorists will be pleased to learn that the repairs on Dover Bridge are ------- complete, and vehicle passage is expected to resume within a matter of days.  ", even, lastly, almost, next
" ------- with every order from Hill and Dunne are an up-to-date product catalog, a mail-in order form, and a discount coupon worth $5. ", Enclose, Enclosing, Enclosed, Enclosure
 The members of the swimming team are eager to get the competition underway after ------- hard for several months prior. , train, have, having, had
 The weather bureau warns that hurricane Tabitha is expected to make landfall at 6 P.M. and ------- cautions residents in coastal areas to take steps to secure their homes. , immensely, urgently, gradually, potentially
" Mr. Dade is usually very serious at work, but he also knows how to lighten everyone's mood by sharing an ------- story or two.  ", amuse, amused, amusing, amusement
 A number of investors ------- their stake in Gable Financial before news of a buyout caused its stock price to go up.  , selling, had, would, will
 The Department of Agriculture has ------- a study to determine whether other types of crops might be more profitable for farmers than the ones they are currently growing. , demonstrated, approached, distributed, commissioned
" Ms. O'Brien has had limited political experience, but voters feel that her clean record ------- makes her the ideal person to become the state's next governor. ", nevertheless, meanwhile, incidentally, similarly
" Numerous favorable comments have been posted online about the Cobalt Hotel, with many reviewers citing an efficient staff that responds very ------- to the needs of guests. ", inadvertently, fortunately, conditionally, attentively
" Despite making an ------- effort to retain all of their employees, the management at Gunderson Plastics had no choice but to reduce their workforce in order to remain competitive.  ", inconclusive, extraordinary, overflowing, undetermined
 The response to Air Shuttle's recent ticket sale has been so overwhelming that many customers are asking that the promotion ------- by one more month.  , extended, be, to, extending
