problem,0,1,2,3
 Users are advised to follow installation ---------- explicitly when connecting the printer to a computer.  , proceeds, procedures, proceeding, proceed
 The attendant announced that the flight would be taking off -------- once all the aircraft doors had been securely closed.  , momentous, moments, momentarily, moment
 The news reporter said that traffic was backed up --------- the intersection of Pine Street and Doyle Road and suggested alternate routes.  , over, at, between, under
" Tamara was asked to assist Mr. Owens during the meeting, but he is the one who ------- the actual presentation scheduled following week.  ", did, does, has, will
 Security staff are rather ------- in regard to unauthorized visitors entering the building. , feasible, strict, obliged, retentive
" Some executives blamed the poor marketing, but most agreed that low product quality was the more --------- cause of poor sales.  ", possibly, likely, necessarily, basically
 The CEO thanked his assembled workforce and said he was --------- for everyone’s commitment to excellence.  , celebrated, grateful, welcoming, selective
 Doctor Harris has promised to --------- more time with the interns next month during their training period.  , instruct, spend, delay, relate
 The immigration bureau strongly ------- that passengers fill in their customs forms prior to proceeding through passport control in order to avoid delays.  , advise, advisory, advisor, advises
 The units --------- are available for long-term lease are located on the ground floor of the structure and come with additional storage space and two reserved parking spots.  , what, that, where, them
" ---------- of the size of an order, all purchases from the retail Web site are subject to shipping and handling fees and applicable taxes. ", Furthermore, Regardless, Despite, Therefore
 Any ---------- caused by the ongoing renovations to the hotel lobby was minimal and hardly any guests complained.  , status, disturbance, discussion, liability
 Ms. Kendall decided to take --------- own car to the conference rather than flying so that a vehicle would be available for use.  , she, hers, herself, her
" --------- the beginning of next month, all students will be required to present their identity cards to enter the computer center.  ", From, Away, Beside, On
 The newspaper article in yesterday’s edition  --------- the recent economic changes in the region and explained the reasons for the drop in unemployment rates.  , described, informed, recommended, concealed
 Matt Harris dealt -------- with local clients during his time at the investment firm but did take care of a couple of international accounts.  , primary, primarily, primaries, prime
" While conducting a ----------- inspection of the factory equipment, the floor managers came across several mechanical problems.  ", comprehend, comprehensively, comprehension, comprehensive
 The board will start accepting ---------- for the chairperson position when Ms. Chambers steps down next month.  , recommendations, allocations, destinations, allowances
" Passengers knew ---------- the train was headed but were not informed of the extra stops, which added 30 minutes of travel time to their trip.  ", where, why, how, that
" -------- seeing-eye dogs, Goldblatt Mall does not permit any type of animal in its premises. ", Apart, Even, In, Contrary
 The records in the law firm’s library are chronologically ---------- so that needed documents are simple to locate.  , ordering, order, ordered, orderly
" Lawnlight Studios films movies, TV shows, and an -------- of variety programs at its headquarters in Hollywood.  ", ingredient, assortment, exception, observation
" To access the laboratory, visitors’ passes must be inserted ------- the devices located next to each of the facility’s entrances.  ", in, around, from, out
 The auto manufacturer’s CEO said the most  --------- automobile on the market today was his company’s newest car.  , efficiency, efficiently, efficient, efficiencies
" Although she had never spoken Spanish before, Alice learned --------- how to communicate while taking the language course.  ", quick, quickness, quickly, quicken
" As we in the public relations department are in charge of organizing the conference, ------- work schedules will be changed.  ", ours, our, ourselves, us
" Attendance was -------- lower than expected at the trade fair, leading planners to believe it hadn’t been sufficiently promoted.  ", most, far, few, very
 -------- wishing to participate in the investment trend workshop are urged to reserve a spot by sending a message to Tony in personnel.  , Those, Each, Every, This
 Only candidates whose applications are handed in by May 1 will be taken ------- consideration for a scholarship award.  , throughout, into, above, around
 Annual sales of Royport’s new digital camera model -------- the expectations of management.   , surpassed, evolved, developed, chose
 Lee Mandel was hired for -------- experience in managing a group of online researchers.  , himself, his, him, he
" During the two months of --------- for the product launch, consultants were hired to determine a market to target.  ", revelations, preparations, instrumentations, congregations
 Patients who have their teeth cleaned by a professional --------- are far less likely to need serious dental work in the future.  , partially, regularly, conditionally, casually
 The tour group was taken to the hotel at noon  -------- they could have some lunch and relax before the afternoon visits to other historic sites.  , so, ever, due, before
 --------- to switch off all office and computer equipment and ensure that all lights are out before leaving the workplace.  , Remember, Maintain, Review, Permit
 Audience members were captivated by the archaeologist’s -------- stories about his discoveries during the expedition.  , amazed, amazing, amazement, amazes
 Shoppers were --------- to make their way to the cashier as the store was about to close for the day.  , request, requesting, requested, requestor
" To publicize the -------- of its newest branch in Singapore, Lloyd Fashions organized a special reception at the new outlet.  ", display, establishment, registration, provision
" The government representative --------- rumors that she will not run for reelection, claiming that her opponents were spreading the story as a political strategy.  ", denies, disagrees, detains, degrades
" Lawrence Carter --------- to assist with the orientation for new technicians as the regular facilitator, Inga Davison, would be away.  ", regretted, volunteered, participated, delegated
